광역시도,시군구,20-39세계,20-39세남자,20-39세여자,65세이상계,65세이상남자,65세이상여자,인구수계,인구수남자,인구수여자,소멸비율,소멸위기지역,소멸위기고위험지역
인천광역시,동구,13856,7432,6425,13723,5833,7891,62324,31473,30851,0.46819208627851056,True,False
인천광역시,미추홀구,113178,60312,52867,66281,28811,37470,401346,201983,199363,0.7976192272295228,False,False
인천광역시,부평구,140742,72453,68290,70322,30271,40054,497593,245889,251704,0.9711043485680158,False,False
인천광역시,서구,153454,78915,74540,55342,24409,30934,539670,272307,267363,1.3468974738896318,False,False
인천광역시,연수구,107153,54151,53003,35875,15783,20092,374306,186028,188278,1.4774355400696864,False,False
인천광역시,옹진군,4667,3194,1473,5291,2440,2853,20367,11567,8800,0.2783972783972784,True,False
인천광역시,중구,39667,20844,18824,19309,8591,10718,135667,70331,65336,0.9748821792946295,False,False
전라남도,강진군,5446,2921,2525,11881,4642,7239,34648,16711,17937,0.21252419829980643,True,False
전라남도,고흥군,8098,4550,3549,25951,10287,15666,64022,31065,32957,0.13675773573272706,True,True
전라남도,곡성군,4263,2307,1958,10089,3947,6143,28267,13835,14433,0.19407275250272574,True,True
전라남도,광양시,39931,22291,17641,19642,8362,11281,153640,79924,73716,0.8981264637002342,False,False
전라남도,구례군,3887,2084,1805,8741,3437,5305,25985,12663,13322,0.20649811234412538,True,False
전라남도,나주시,27023,14174,12851,25388,10287,15104,114376,57604,56772,0.5061840239483221,False,False
전라남도,담양군,8667,4869,3799,14070,5833,8237,46034,23452,22582,0.2700071073205402,True,False
전라남도,목포시,54208,28586,25624,36558,15568,20991,225273,112219,113054,0.7009136167186388,False,False
전라남도,무안군,18235,9554,8682,17082,7021,10061,83168,41747,41421,0.5082543027748507,False,False
전라남도,보성군,5685,3126,2560,15374,6044,9331,40544,19742,20802,0.16651489527774163,True,True
전라남도,순천시,70234,37007,33228,43095,18304,24791,279602,139449,140153,0.7710407239819005,False,False
전라남도,신안군,5774,3549,2225,14081,5824,8259,39201,20863,18338,0.15801434557204744,True,True
전라남도,여수시,65443,36049,29396,52858,22941,29918,279854,142573,137281,0.5561315221915321,False,False
전라남도,영광군,9993,5396,4600,15196,6075,9122,52970,26446,26525,0.30271123979994735,True,False
전라남도,영암군,10064,5638,4427,14080,5557,8523,53651,27599,26052,0.3144176136363636,True,False
전라남도,완도군,7981,4510,3472,16025,6559,9467,50007,25134,24873,0.21666146645865836,True,False
전라남도,장성군,8299,4699,3604,13109,5397,7714,44715,22983,21732,0.2749256236173621,True,False
전라남도,장흥군,6050,3291,2759,12733,4957,7777,37859,18382,19477,0.21668106494934422,True,False
전라남도,진도군,4905,2743,2162,10130,3949,6182,30722,15149,15573,0.21342546890424482,True,False
전라남도,함평군,4756,2703,2053,11546,4485,7061,32098,16105,15994,0.1778104971418673,True,True
전라남도,해남군,10907,5863,5045,21946,8770,13176,69000,34053,34947,0.22988243871320513,True,False
전라남도,화순군,11610,6132,5479,16416,6524,9893,62182,30773,31409,0.33375974658869395,True,False
전라북도,고창군,8348,4617,3732,18475,7368,11109,54579,27019,27560,0.20200270635994588,True,False
전라북도,군산시,61125,32637,28489,48768,21111,27659,266687,134815,131872,0.5841740485564304,False,False
전라북도,김제시,14113,7700,6415,25757,10406,15353,82405,40902,41504,0.2490585083666576,True,False
전라북도,남원시,14155,7554,6603,22274,8991,13285,80654,39528,41126,0.29644428481637786,True,False
전라북도,덕진구,85159,44114,41045,43137,18676,24463,315225,156842,158383,0.9515033497925215,False,False
전라북도,무주군,3591,1976,1615,7950,3231,4721,24069,11977,12092,0.20314465408805032,True,False
전라북도,부안군,8417,4619,3800,17061,6943,10118,52251,25966,26286,0.22273020338784363,True,False
전라북도,순창군,4243,2189,2056,9330,3653,5677,27930,13575,14356,0.22036441586280814,True,False
전라북도,완산구,88971,45677,43295,52054,22269,29786,337634,164462,173172,0.8317324317055366,False,False
전라북도,완주군,18698,9978,8722,20798,9024,11774,91372,46928,44444,0.41936724685065874,True,False
전라북도,익산시,65967,35263,30705,54379,22944,31436,283174,141054,142120,0.5646481178396072,False,False
전라북도,임실군,4387,2476,1912,9834,4059,5779,27928,14241,13688,0.19442749644091925,True,True
전라북도,장수군,3345,1807,1540,7397,3042,4357,22159,11037,11122,0.20819251047722048,True,False
전라북도,정읍시,19791,10703,9088,29484,11887,17597,108474,53843,54631,0.3082349749016416,True,False
전라북도,진안군,3712,1964,1749,8706,3692,5016,25361,12817,12544,0.20089593383873192,True,False
제주특별자치도,서귀포시,39418,20467,18952,34153,14426,19728,180430,91224,89206,0.5549146487863438,False,False
제주특별자치도,제주시,125959,65081,60878,67662,28540,39122,486839,244152,242688,0.8997369276698886,False,False
충청남도,계룡시,9618,5057,4561,4911,2103,2810,42707,21244,21463,0.9287314192628793,False,False
충청남도,공주시,21344,11601,9744,26790,11590,15202,104677,52455,52222,0.3637178051511758,True,False
충청남도,금산군,8019,4415,3606,15693,6665,9028,51373,25903,25471,0.2297839801185242,True,False
충청남도,논산시,22593,12305,10290,30245,12768,17477,116626,58349,58277,0.34022152421887913,True,False
충청남도,당진시,39714,22741,16973,30399,13307,17093,165750,87808,77942,0.5583407348925952,False,False
충청남도,동남구,69089,36401,32688,35681,15639,20042,256758,130013,126745,0.9161178218099268,False,False
충청남도,보령시,19330,10888,8443,25346,10743,14604,99853,50593,49260,0.33310976090901917,True,False
충청남도,부여군,10100,5680,4421,22164,9366,12799,65431,32477,32955,0.19946760512542863,True,True
충청남도,서북구,131984,69582,62402,33268,14311,18957,394727,201935,192792,1.875736443429121,False,False
충청남도,서산시,41640,23634,18008,31571,13666,17907,174315,90479,83837,0.5703968832156092,False,False
충청남도,서천군,7565,4317,3248,18551,7735,10818,51821,25628,26193,0.17508490108349956,True,True
충청남도,아산시,85688,46355,39333,40747,17345,23404,313250,162307,150943,0.9652980587527916,False,False
충청남도,예산군,13242,7406,5837,23994,10295,13699,78072,39228,38844,0.24326915062098858,True,False
충청남도,청양군,4931,2818,2113,10851,4663,6189,31134,15756,15379,0.19472859644272417,True,True
충청남도,태안군,10451,5982,4471,18864,8244,10621,62051,31335,30716,0.23701229855810008,True,False
충청남도,홍성군,20483,10932,9551,23306,9802,13505,99547,49507,50040,0.40980863297005066,True,False
충청북도,괴산군,6048,3483,2567,12747,5542,7206,38968,19995,18974,0.20138071703145838,True,False
충청북도,단양군,4411,2480,1931,8752,3802,4951,29143,14783,14361,0.22063528336380256,True,False
충청북도,보은군,4706,2660,2047,10967,4593,6374,32403,16307,16096,0.1866508616759369,True,True
충청북도,상당구,45413,23876,21537,28094,12031,16066,183083,91044,92040,0.7666049690325336,False,False
충청북도,서원구,52446,27705,24741,28508,12140,16369,197773,98076,99698,0.86786165286937,False,False
충청북도,영동군,8038,4375,3663,14708,6193,8515,47737,23732,24005,0.24904813706826218,True,False
충청북도,옥천군,8472,4635,3839,14710,6343,8368,50381,25424,24958,0.2609789259007478,True,False
충청북도,음성군,19630,11185,8445,19252,8523,10729,93181,49273,43908,0.438655724080615,True,False
충청북도,제천시,28234,15216,13018,28247,12432,15816,132883,66629,66254,0.46086310050624846,True,False
충청북도,증평군,9381,5305,4077,6236,2675,3562,36893,19130,17763,0.6537844772289929,False,False
충청북도,진천군,20447,11435,9013,13290,5665,7625,81958,42893,39065,0.6781790820165537,False,False
충청북도,청원구,58449,31789,26661,23978,10174,13805,194256,99503,94754,1.1118942363833515,False,False
충청북도,충주시,47962,26670,21293,40566,17253,23314,209084,105733,103351,0.5248976975792535,False,False
충청북도,흥덕구,81443,43471,37975,28478,12312,16167,262632,133185,129448,1.3334854975770771,False,False
